rank,frequency,action_sign,action_scale,knee_action_scale,trials,mean_return,mean_length,success_rate,mean_x_displacement,mean_y_displacement,mean_forward_score,std_forward_score,rank_score
179,1.0000,-1.0,0.5000,0.4000,3,27.247905,60.00,0.0000,-0.405223,-1.072774,-0.619778,0.491445,-0.319778
180,1.0000,-1.0,0.1000,0.4000,3,18.303851,33.33,0.0000,-0.468139,0.090116,-0.498769,0.262654,-0.332102
181,0.8000,1.0,0.1000,0.2000,3,59.172178,74.33,0.0000,-0.573040,-0.712192,-0.715479,0.256877,-0.343812
182,1.0000,-1.0,0.1000,0.5000,3,18.755415,38.67,0.0000,-0.475879,0.288566,-0.551968,0.111694,-0.358635
183,0.6000,1.0,0.3000,0.5000,3,7.952802,25.00,0.0000,-0.419433,-0.336135,-0.486660,0.133846,-0.361660
184,1.0000,1.0,0.2000,0.1000,3,256.970173,300.00,1.0000,-1.401483,-4.831317,-2.367747,5.400990,-0.367747
185,1.0000,-1.0,0.2000,0.5000,3,39.185528,75.67,0.0000,-0.735389,-0.232313,-0.804084,0.618766,-0.425751
186,0.6000,1.0,0.4000,0.2000,3,76.141294,113.67,0.0000,-0.747040,0.089442,-0.998689,2.150422,-0.430356
187,0.8000,-1.0,0.1000,0.2000,3,23.764130,36.33,0.0000,-0.539066,-0.393663,-0.617799,0.084291,-0.436132
188,0.8000,1.0,0.5000,0.1000,3,201.370167,300.00,1.0000,-1.031492,-7.159100,-2.463312,1.907958,-0.463312
189,1.0000,-1.0,0.1000,0.3000,3,13.382726,30.00,0.0000,-0.680839,-0.034355,-0.703446,0.064310,-0.553446
190,0.6000,1.0,0.2000,0.1000,3,258.122124,300.00,1.0000,-1.343905,-6.234751,-2.590855,2.688455,-0.590855
191,0.8000,-1.0,0.4000,0.5000,3,32.964530,87.00,0.0000,-0.920536,-0.536689,-1.088660,0.565191,-0.653660
192,0.8000,1.0,0.4000,0.5000,3,32.226296,86.67,0.0000,-0.945880,0.434644,-1.210728,1.297754,-0.777395
193,0.8000,1.0,0.4000,0.1000,3,199.764867,273.33,0.6667,-1.354503,-5.974703,-2.549443,3.245297,-0.849443
194,1.0000,1.0,0.4000,0.3000,3,78.628250,148.33,0.0000,-1.628846,-0.319654,-1.714450,1.535658,-0.972783
195,0.6000,1.0,0.3000,0.1000,3,234.771725,300.00,1.0000,-1.761375,-6.927897,-3.146955,1.086621,-1.146955
196,1.0000,1.0,0.3000,0.3000,3,187.176873,300.00,1.0000,-2.941158,-0.808914,-3.341200,0.791748,-1.341200
197,0.8000,-1.0,0.3000,0.1000,3,213.379834,300.00,1.0000,-2.830980,-6.365245,-4.104029,1.005831,-2.104029
198,0.6000,1.0,0.4000,0.1000,3,164.283531,300.00,1.0000,-4.235814,-5.048840,-5.245582,0.959907,-3.245582
199,0.6000,1.0,0.5000,0.1000,3,137.365253,300.00,1.0000,-4.231725,-5.117072,-5.255139,2.156930,-3.255139
200,1.0000,1.0,0.3000,0.1000,3,162.020779,300.00,1.0000,-5.398967,-2.332871,-5.967191,1.349227,-3.967191
